understand,120.72,121.14
with,121.22,121.34
me,121.38,121.48
that,121.54,121.64
boldness,121.74,122.18
is,122.34,122.40
something,122.46,122.76
important,122.80,123.22
and,123.56,123.64
it's,123.68,123.80
literally,123.88,124.28
a,124.30,124.32
cheat,124.54,124.78
code,124.86,125.08
for,125.12,125.24
social,125.32,125.62
power,,125.68,125.98
I'm,126.34,126.44
going,126.47,126.61
to,126.62,126.67
explain,126.72,127.11
to,127.15,127.21
you,127.25,127.39
how,127.47,127.55
to,127.59,127.63
become,127.69,127.97
bold,128.07,128.37
and,128.71,128.79
here,128.85,129.01
I,129.09,129.11
need,129.17,129.33
to,129.37,129.45
explain,129.51,129.89
to,129.93,129.99
you,130.03,130.13
what,130.17,130.29
boldness,130.41,130.81
really,130.85,131.19
is,131.21,131.45
from,131.51,131.63
a,131.67,131.69
psychological,131.75,132.47
and,132.84,132.91
deep,132.96,133.12
perspective,133.16,133.70
simply,133.78,134.06
put,134.14,134.28
a,134.32,134.34
bold,134.40,134.64
action,134.78,135.08
is,135.42,135.50
one,135.52,135.76
that,135.80,135.90
when,135.94,136.04
you,136.08,136.18
do,136.24,136.34
it,,136.42,136.48
the,136.50,136.58
result,136.62,136.96
will,137.14,137.28
either,137.42,137.62
be,137.68,137.78
a,137.84,137.86
reward,137.92,138.34
or,138.66,138.72
a,138.78,138.80
punishment,138.86,139.30
if,139.62,139.69
you,139.72,139.82
like,139.84,139.99
a,140.05,140.07
girl,140.13,140.39
and,140.67,140.75
go,140.79,140.89
approach,140.95,141.25
her,141.27,141.37
there,141.41,141.57
are,141.89,141.97
two,142.03,142.17
possible,142.25,142.65
outcomes,142.75,143.11
either,143.39,143.59
you,143.65,143.75
get,143.79,143.91
a,143.95,143.97
reward,144.03,144.37
her.,144.41,144.97
Number,144.95,145.35
or,145.39,145.67
she,145.75,145.91
rejects,145.97,146.38
you,146.46,146.59
and,146.63,146.90
the,146.94,147.00
punishment,147.08,147.54
will,147.60,147.74
be,147.78,147.86
embarrassment.,147.94,148.58
And,148.94,149.02
I,149.06,149.10
want,149.16,149.28
you,149.32,149.40
to,149.42,149.48
focus,149.58,149.92
on,150.00,150.06
this,150.12,150.24
word,150.30,150.48
embarrassment,150.54,151.10
because,151.40,151.62
we'll,151.64,151.82
come,151.86,152.04
back,152.12,152.32
to,152.36,152.46
it,152.52,152.56
later.,152.62,152.88
So,153.16,153.32
to,153.34,153.47
become,153.51,153.83
someone,153.89,154.17
who,154.19,154.31
takes,154.37,154.61
bold,154.73,154.99
actions,,155.17,155.51
this,155.57,155.71
element,155.89,156.17
of,156.21,156.27
punishment,156.29,156.81
must,156.95,157.13
disappear,157.21,157.69
and,157.73,158.11
you,158.15,158.27
can,158.31,158.43
achieve,158.49,158.85
that,158.91,159.05
by,159.11,159.23
letting,159.29,159.53
me,159.56,159.66
rewire,159.75,160.26
your,160.30,160.44
brain,160.50,160.84
so,160.88,161.26
that,161.30,161.40
this,161.48,161.62
punishment,161.74,162.16
no,162.28,162.44
longer,162.52,162.86
appears,162.94,163.32
to,163.38,163.46
you,163.50,163.66
and,163.70,164.04
no,164.10,164.24
longer,164.32,164.64
affects,164.72,165.00
you.,165.04,165.16
Once,165.26,165.40
you,165.42,165.54
reach,165.62,165.82
that,165.86,166.00
point,,166.08,166.34
it,166.37,166.41
means,166.54,166.76
you'll,166.81,166.99
have,167.03,167.13
a,167.17,167.19
crazy,167.29,167.65
level,167.69,167.95
of,168.05,168.15
confidence,168.41,168.93
and,169.01,169.07
power,169.15,169.49
and,169.79,169.87
you'll,169.89,170.09
become,170.11,170.41
able,170.43,170.81
to,170.87,170.93
do,171.01,171.17
and,171.27,171.33
say,,171.41,171.97
Anything,171.95,172.43
you,172.47,172.59
want,172.65,172.83
without,172.88,173.19
caring,173.29,173.60
what,173.68,173.80
anyone,174.00,174.30
around,174.34,174.56
you,174.60,174.70
thinks.,174.76,175.28
So,175.30,175.42
let's,175.48,175.64
go,175.66,175.78
back,175.86,176.08
to,176.12,176.22
our,176.30,176.40
rule,176.48,176.68
to,176.72,176.80
bold,176.84,177.08
action,177.22,177.52
has,177.70,177.86
two,177.88,178.14
possible,178.22,178.62
outcomes.,178.72,179.10
Reward,179.50,179.97
or,179.99,180.23
punishment,,180.31,180.77
let's,180.83,180.99
start,181.01,181.23
with,181.27,181.37
punishment.,181.43,181.91
And,182.31,182.39
since,182.43,182.61
we're,182.65,182.79
now,182.83,183.03
in,183.11,183.15
the,183.19,183.25
social,183.31,183.63
skills,183.69,183.95
series,,183.99,184.33
it,184.41,184.45
makes,184.49,184.71
sense,184.79,185.01
that,185.06,185.16
our,185.22,185.31
goal,185.38,185.66
is,185.92,185.98
to,186.02,186.10
apply,186.18,186.50
boldness,186.54,187.04
in,187.10,187.16
social,187.22,187.54
life.,187.60,187.84
So,188.18,188.30
what,188.34,188.44
is,188.50,188.58
the,188.62,188.68
punishment,188.76,189.26
in,189.32,189.40
social,189.48,189.80
life?,189.86,190.06
Of,190.14,190.18
course,,190.26,190.48
it's,190.54,190.66
embarrassment.,190.72,191.31
So,191.62,191.75
let,191.81,191.91
me,191.95,192.03
explain,192.09,192.47
to,192.53,192.61
you,192.65,192.79
what,192.85,192.97
this,193.03,193.19
embarrassment,193.29,193.87
actually,193.99,194.33
is,194.37,194.63
and,195.01,195.09
how,195.13,195.25
you,195.29,195.41
can,195.45,195.55
overcome,195.61,195.97
it,196.03,196.07
now,196.13,196.33
when,196.61,196.71
you're,196.75,196.95
in,196.97,197.03
a,197.09,197.11
social,197.17,197.47
situation,197.53,198.10
like.,198.16,198.74
Going,198.72,199.06
out,199.12,199.22
on,199.28,199.32
a,199.36,199.38
date,,199.46,199.68
for,199.74,199.84
example,,199.90,200.30
people,200.32,200.60
around,200.66,200.90
you,200.94,201.02
place,201.08,201.32
you,201.36,201.46
inside,201.48,201.96
a,202.02,202.04
certain,202.14,202.46
frame,202.54,202.84
that,202.88,203.02
frame,203.12,203.46
is,203.68,203.76
what,203.80,203.90
they,203.92,204.06
expect,204.10,204.44
you,204.48,204.58
to,204.62,204.66
do,,204.72,204.90
eat,,205.08,205.24
laugh,,205.31,205.54
reply,205.59,205.93
to,205.99,206.06
a,206.12,206.15
message,206.23,206.51
on,206.57,206.63
your,206.67,206.79
phone,,206.85,207.17
but,207.47,207.57
it's,207.61,207.73
impossible,207.77,208.37
for,208.43,208.53
them,208.57,208.71
to,208.77,208.85
expect,208.93,209.29
you,209.33,209.45
to,209.49,209.57
suddenly,209.65,210.01
stand,210.07,210.35
up,210.47,210.55
and,210.87,210.95
start,210.99,211.25
singing,211.33,211.65
or,211.69,211.99
doing,212.05,212.25
push-ups,212.33,212.77
or,212.97,213.05
dancing,213.15,213.51
the,213.55,213.61
problem,213.67,214.06
that,214.09,214.19
happens,214.28,214.62
here,214.68,214.85
is,214.88,215.30
that,215.34,215.44
the,215.46,215.56
frame,215.66,215.90
others,215.98,216.20
put,216.26,216.42
you,216.46,216.60
and,216.66,216.72
you,216.76,216.84
also,216.94,217.18
put,217.24,217.36
yourself,217.42,217.80
in,217.88,217.94
it.,218.00,218.34
So,218.36,218.48
when,218.52,218.62
your,218.64,218.76
brain,218.82,219.10
sees,219.18,219.40
you,219.44,219.54
trying,219.60,219.80
to,219.82,219.86
do,219.92,220.08
something,220.16,220.44
outside,220.60,221.08
of,221.12,221.16
that,221.20,221.34
frame,,221.42,221.70
it,221.72,221.76
tries,222.06,222.30
its,222.36,222.46
best,222.52,222.76
to,222.81,222.88
stop,222.94,223.21
you,223.26,223.38
to,223.44,223.54
avoid,223.63,223.91
embarrassment.,223.97,224.93
And,224.91,225.11
of,225.15,225.19
course,225.27,225.49
your,225.53,225.67
brain,225.73,225.97
thinks,226.05,226.29
it's,226.37,226.47
doing,226.51,226.73
this,226.77,226.91
for,226.97,227.07
your,227.11,227.23
own,227.29,227.39
good,227.45,227.69
because,227.91,228.15
ever,228.25,228.41
since,228.47,228.67
you,228.69,228.79
were,228.83,228.97
a,229.01,229.03
child,229.09,229.39
you've,229.41,229.57
been,229.61,229.75
conditioned,229.79,230.29
to,230.33,230.41
believe,230.47,230.79
that,230.84,230.96
embarrassment,231.01,231.60
is,231.96,232.02
something,232.12,232.44
you,232.50,232.62
must,232.70,232.92
escape,233.00,233.42
and,233.76,233.84
that,233.88,233.98
you,234.00,234.10
should,234.16,234.32
care,234.40,234.64
about,234.68,234.88
what,234.96,235.10
people,235.16,235.46
think,235.48,235.80
what,235.84,235.96
I,235.98,236.02
want,236.08,236.20
to,236.22,236.28
explain,236.32,236.74
to,236.78,236.86
you,236.90,237.00
now,237.08,237.28
is,237.32,237.64
this,237.68,237.82
embarrassment,237.92,238.53
and,238.93,239.01
people,239.09,239.39
have,239.45,239.61
nothing,239.63,239.95
to,239.99,240.05
do,240.09,240.21
with,240.25,240.35
each,240.39,240.53
other,240.59,240.73
for,240.77,240.89
example,,240.95,241.33
let's,241.61,241.79
say,241.83,241.95
you,241.99,242.11
walk,242.15,242.37
up,242.43,242.49
to,242.55,242.63
a,242.69,242.71
girl,242.77,243.03
and,243.07,243.41
she,243.47,243.61
rejects,243.67,244.03
you,244.07,244.15
your,244.19,244.31
brain,244.37,244.67
sends,244.71,245.11
a,245.19,245.21
signal,245.31,245.68
to,245.72,245.79
your,245.84,245.97
kidneys,246.06,246.48
to,246.56,246.66
release,246.72,247.06
adrenaline,247.14,247.66
and,247.70,247.80
cortisol,248.02,248.52
and,248.76,248.86
these,248.90,249.08
two,249.18,249.36
hormones.,249.44,250.34
are,250.32,250.52
what,250.56,250.68
make,250.74,250.90
you,250.92,251.04
feel,251.10,251.32
embarrassed,,251.40,251.84
but,252.04,252.14
if,252.18,252.24
I,252.32,252.36
came,252.42,252.62
to,252.68,252.76
you,252.82,252.96
and,253.00,253.26
directly,253.34,253.82
injected,253.84,254.35
those,254.43,254.61
two,254.65,254.93
hormones,255.03,255.51
into,255.59,255.75
your,255.79,255.91
bloodstream,,255.95,256.71
you,256.73,256.83
would,256.85,256.99
feel,257.05,257.27
the,257.31,257.43
exact,257.53,257.93
same,258.03,258.27
stress,258.35,258.83
and,259.05,259.13
embarrassment,259.19,259.77
without,259.83,260.15
being,260.21,260.39
rejected,,260.43,260.95
or,261.31,261.38
even,261.45,261.62
seen,261.71,261.96
by,262.04,262.18
anyone,262.20,262.80
meaning,262.86,263.14
people,263.22,263.50
aren't,263.74,263.90
the,263.94,264.02
cause,264.08,264.36
of,264.40,264.46
embarrassment.,264.54,265.44
You,265.46,265.56
don't,265.62,265.80
have,265.84,265.94
a,265.98,266.02
problem,266.08,266.42
with,266.46,266.56
people.,266.62,266.90
You,266.94,267.04
have,267.08,267.16
a,267.20,267.24
problem,267.30,267.62
with,267.66,267.76
chemistry.,267.82,268.36
If,268.54,268.60
you,268.62,268.70
were,268.74,268.87
sitting,268.93,269.14
with,269.19,269.29
a,269.35,269.37
group,269.43,269.62
of,269.67,269.71
little,269.75,270.01
kids,,270.07,270.39
could,270.49,270.61
any,270.79,270.95
of,270.99,271.03
them,271.11,271.23
make,271.49,271.65
you,271.67,271.77
feel,271.83,272.01
negatively,272.03,272.63
or,272.67,273.11
embarrassed,,273.19,273.63
of,273.65,273.69
course,,273.77,274.03
not,274.41,274.55
because,274.61,274.89
simply,274.99,275.29
they,275.37,275.49
hold,275.55,275.75
no,275.79,276.09
value,276.19,276.55
in.,276.67,277.15
Your,277.13,277.33
life,277.38,277.56
that,277.60,277.72
conclusion,277.76,278.26
I,278.28,278.30
want,278.56,278.70
you,278.74,278.84
to,278.88,278.96
remember,,279.02,279.36
because,279.66,279.86
we'll,279.90,280.04
come,280.08,280.24
back,280.28,280.48
to,280.52,280.62
it,280.68,280.72
later,,280.78,281.02
but,281.22,281.32
for,281.38,281.48
now,281.54,281.70
I'll,281.76,281.90
answer,282.00,282.22
one,282.26,282.42
of,282.44,282.50
the,282.52,282.60
most,282.64,282.82
common,282.92,283.22
questions,283.28,283.70
I've,283.76,283.92
seen,283.96,284.20
in,284.26,284.32
the,284.34,284.42
comments,284.48,284.85
ever,285.05,285.20
since,285.26,285.47
I,285.53,285.61
started,285.65,286.01
this,286.05,286.19
social,286.23,286.55
skills,286.59,286.85
series,,286.91,287.29
it,287.45,287.51
has,287.59,287.77
to,287.81,287.89
do,287.93,288.03
with,288.07,288.19
embarrassment.,288.25,288.87
Why,288.97,289.09
do,289.13,289.21
you,289.25,289.35
feel,289.41,289.63
embarrassed,289.71,290.19
when,290.25,290.39
doing,290.45,290.67
something,290.75,291.07
while,291.09,291.49
someone,291.55,291.83
else,291.91,292.07
can,292.13,292.27
do,292.35,292.50
the,292.56,292.65
exact,292.74,293.10
same,293.16,293.36
thing,293.46,293.70
and,293.74,294.14
not,294.20,294.36
feel,294.46,294.66
embarrassed?,294.74,295.20
So,295.44,295.56
listen,295.62,295.86
to,295.88,295.92
me,295.98,296.06
carefully.,296.14,296.58
Now,296.62,297.04
first,297.08,297.40
you,297.44,297.54
need,297.58,297.72
to,297.74,297.80
understand,297.82,298.32
people,298.40,298.66
don't,298.72,298.88
care,298.94,299.14
about,299.20,299.42
what,299.76,299.86
you're,299.88,300.02
doing.,300.04,300.26
You,300.31,300.40
need,300.44,300.58
to,300.62,300.69
truly,300.76,301.05
grasp,301.11,301.45
this.,301.49,302.15
Look,302.13,302.37
there,302.41,302.55
isn't,302.61,302.81
a,302.85,302.87
single,302.99,303.27
person,303.35,303.69
on,303.75,303.79
this,303.81,303.95
planet,304.01,304.33
to,304.35,304.45
whom,304.51,304.67
you,304.69,304.81
are,304.87,304.95
so,305.07,305.25
important,305.33,305.73
that,305.77,305.87
they're,305.89,306.11
observing,306.15,306.63
your,306.67,306.85
every,307.07,307.33
move,,307.41,307.71
and,308.01,308.10
trying,308.15,308.40
to,308.42,308.48
analyze,308.60,309.00
it,309.06,309.10
to,309.12,309.20
figure,309.30,309.54
out,309.62,309.70
how,309.76,309.84
they,309.88,309.96
should,310.00,310.16
react,310.20,310.54
I,310.62,310.68
know,310.74,310.90
that,310.94,311.08
may,311.14,311.26
sound,311.30,311.50
complicated,,311.56,312.14
but,312.44,312.54
don't,312.60,312.80
worry,312.86,313.12
it's,313.20,313.30
actually,313.44,313.74
simple,313.86,314.16
imagine,314.22,314.58
with,314.62,314.73
me,314.76,314.87
two,314.93,315.11
guys,315.17,315.40
walking,,315.49,315.87
and,316.21,316.27
they,316.31,316.43
both,316.47,316.67
slip,316.77,317.03
and,317.27,317.35
fall,317.45,317.65
the,317.69,317.79
first,317.87,318.11
one,318.23,318.33
falls,318.41,318.67
gets,318.71,318.87
embarrassed,,318.95,319.45
and,319.87,319.95
says,320.01,320.19
to,320.23,320.31
himself,,320.37,320.79
I,321.33,321.37
wish,321.43,321.59
the,321.65,321.73
ground,321.77,322.07
would,322.13,322.27
just,322.33,322.51
swallow,322.62,323.06
me.,323.10,323.70
The,323.68,323.88
second,323.94,324.22
guy,324.26,324.46
stands,324.52,324.84
up,324.94,325.00
and,325.14,325.22
starts,325.28,325.54
laughing,325.58,326.02
at,326.06,326.10
himself,326.14,326.54
and,326.62,326.68
the,326.72,326.78
first,326.90,327.12
scenario,327.16,327.68
people,327.74,328.02
around,328.08,328.34
him,328.38,328.46
will,328.64,328.81
likely,328.82,329.12
start,329.19,329.41
laughing,329.47,329.83
at,329.91,329.97
him,330.03,330.11
and,330.43,330.51
he'll,330.57,330.73
feel,330.79,330.99
even,331.21,331.39
more,331.47,331.65
embarrassed,331.71,332.19
and,332.55,332.61
that,332.65,332.77
event,332.83,333.05
will,333.09,333.23
become,333.27,333.53
a,333.55,333.57
painful,333.73,334.17
memory,334.27,334.59
he'll,334.65,334.83
remember,334.87,335.19
later,335.27,335.54
and,335.57,335.94
regret,336.00,336.38
meanwhile,336.40,336.98
the,337.02,337.18
second,337.24,337.52
guy,337.56,337.74
laughs,337.80,338.14
and,338.44,338.52
everyone,338.56,339.12
around,339.16,339.44
him,339.46,339.54
starts,339.62,339.90
laughing,339.94,340.38
with,340.44,340.54
him,340.62,340.72
and,341.08,341.14
the,341.18,341.24
moment,341.30,341.58
becomes,341.74,342.04
a,342.11,342.14
fun,342.26,342.46
positive,342.55,342.99
memory,343.05,343.37
so,343.71,343.81
what,343.85,343.97
happened,344.03,344.31
here,344.35,344.51
these,344.57,344.73
two,344.83,344.97
people,345.03,345.33
experienced,345.39,345.97
the,346.01,346.13
exact,346.19,346.57
same,346.61,346.81
thing,346.89,347.11
but,347.21,347.41
with,347.69,347.81
different,347.89,348.15
outcomes,348.23,348.61
and,348.94,349.01
the,349.04,349.12
reason,349.15,349.44
goes,349.48,349.66
back,349.74,349.96
to,350.02,350.48
One,350.46,350.72
of,350.76,350.80
the,350.84,350.90
most,350.96,351.10
important,351.20,351.66
psychological,351.74,352.42
principles,352.48,352.94
in,353.00,353.06
human,353.14,353.38
nature,353.44,353.70
people's,353.76,354.04
reactions,354.10,354.60
are,354.78,354.86
a,354.90,354.92
reflection,354.98,355.54
of,355.58,355.62
your,355.66,355.78
reaction,355.82,356.32
to,356.38,356.46
the,356.51,356.61
event,356.69,356.99
not,357.15,357.33
to,357.37,357.47
the,357.51,357.59
event,357.67,357.95
itself,358.01,358.39
meaning,358.55,358.85
if,358.87,358.99
you're,359.01,359.17
walking,359.21,359.57
and,359.77,359.85
fall,359.95,360.19
people,360.23,360.51
aren't,360.75,360.93
reacting,360.99,361.41
to,361.43,361.49
your,361.53,361.63
fall,361.69,361.89
itself,361.95,362.27
they're,362.33,362.49
reacting,362.53,362.98
to,363.01,363.10
your,363.12,363.24
reaction,363.30,363.72
to,363.76,363.82
the,363.86,363.94
fall,364.00,364.28
if,364.42,364.48
you,364.50,364.64
fall,364.68,364.96
and,365.30,365.38
start,365.42,365.64
laughing,365.68,366.04
they'll,366.06,366.26
laugh,366.28,366.52
with,366.56,366.66
you,366.70,366.82
but,367.12,367.20
if,367.26,367.30
you,367.34,367.44
fall,367.50,367.70
turn,367.74,367.98
red,368.06,368.30
and,368.48,368.56
feel,368.70,368.90
ashamed,368.96,369.30
they'll,369.32,369.52
laugh,369.56,369.82
at,369.88,369.92
you,369.96,370.11
and,370.14,370.52
if,370.58,370.62
you,370.67,370.81
fall,370.87,371.15
and,371.43,371.51
start,371.55,371.77
crying,371.87,372.25
or,372.47,372.53
showing,372.63,372.91
signs,372.97,373.21
of,373.27,373.31
pain,373.37,373.59
